division_rank,first_name,last_name,alias,region,division,conservative_rating,mu,sigma,ordinal,matches_played,percentage_of_best
245,Björn,Mattsson,mattssons,SWE,Open,10.2,26.8,19.72,-32.37,6,11.8
246,Bo,Jansson,boaw,SWE,Open,10.15,24.7,17.28,-27.15,10,11.74
247,Pia,Nordquist,,SWE,Open,10.12,27.13,20.21,-33.5,4,11.71
248,Michael,Bjurshagen,mibj,SWE,Open,10.08,28.92,22.39,-38.24,5,11.65
249,Jesper,Dahlskog,dahlskog,SWE,Open,10.06,29.02,22.54,-38.59,4,11.63
250,Dan,Liljeström,liljestrom,SWE,Open,10.04,28.19,21.56,-36.48,6,11.62
251,Karl-Magnus,Troedsson,,SWE,Open,10.01,25.5,18.41,-29.72,6,11.58
252,Günther,Lindmark,coffeeman,SWE,Open,9.99,31.24,25.24,-44.48,3,11.56
253,JJ,Nilsson,jjnilsson,SWE,Open,9.97,28.99,22.59,-38.78,3,11.54
254,Robert Rob,Andersson,rad,SWE,Open,9.92,29.2,22.9,-39.51,4,11.48
255,Johan,Skogh,skogh,SWE,Open,9.9,33.12,27.59,-49.65,1,11.45
256,Håkan T,Söderholm,semperprimus,SWE,Open,9.88,25.87,19.0,-31.11,7,11.43
257,Stefan,Vålberg,valberg,SWE,Open,9.83,22.22,14.73,-21.96,12,11.37
258,Sven,Ytterell,,SWE,Open,9.77,26.21,19.53,-32.37,6,11.31
259,Pierre,N,norvsd,SWE,Open,9.76,25.53,18.73,-30.66,8,11.29
260,Tove,Wirström,tojjtojj,SWE,Open,9.62,26.02,19.49,-32.45,5,11.13
261,Jörgen,Sandberg,jojje74,SWE,Open,9.58,25.04,18.37,-30.07,8,11.08
262,Isak,Essebro,essebro,SWE,Open,9.51,27.95,21.91,-37.79,5,11.0
263,Jakob,Tollstorp,tollstorp,SWE,Open,9.46,25.39,18.93,-31.39,7,10.94
264,Örjan,Lundberg,iceman74,SWE,Open,9.37,26.26,20.06,-33.93,6,10.84
265,Martin,Bergman,mmaartin,SWE,Open,9.33,26.42,20.3,-34.48,5,10.8
266,Magnus,Pihlqvist,pilen,SWE,Open,9.3,27.27,21.35,-36.78,5,10.76
267,Stilianos,Simeonidis,,SWE,Open,9.23,24.51,18.15,-29.95,9,10.68
268,Jonas,Eriksson,leadmonger,SWE,Open,9.19,25.12,18.92,-31.66,9,10.63
269,Dennis,Fridström,,SWE,Open,9.08,25.38,19.36,-32.7,8,10.51
270,Pierre,Nordin,,SWE,Open,8.94,25.08,19.18,-32.45,10,10.34
271,Johan,Sundevall,,SWE,Open,8.87,26.41,20.85,-36.13,6,10.26
272,Mikael,Johansson,,SWE,Open,8.85,25.66,19.97,-34.24,9,10.24
273,Paul,Wood,woody,SWE,Open,8.79,25.38,19.71,-33.76,7,10.17
274,Peter,Nordlund,nord,SWE,Open,8.74,24.28,18.47,-31.13,9,10.11
275,Christian,E,,SWE,Open,8.72,25.58,20.03,-34.51,6,10.09
276,Henry,Joona,joonix,SWE,Open,8.64,25.9,20.51,-35.64,5,9.99
277,Patrik,Sundell,,SWE,Open,8.6,21.42,15.24,-24.29,19,9.94
278,Joel,Sundstedt,josu,SWE,Open,8.57,23.75,18.04,-30.36,11,9.91
279,Jan,Karlsson,jkjk,SWE,Open,8.54,23.64,17.95,-30.2,8,9.87
280,Johan,Bergh,,SWE,Open,8.5,25.02,19.63,-33.87,9,9.83
281,Eddie,Karlsson,silverjoker,SWE,Open,8.43,30.11,25.75,-47.15,2,9.75
282,Jörgen,Andersson,,SWE,Open,8.42,36.14,32.94,-62.67,3,9.74
283,Amin-Robert,Kassem,,SWE,Open,8.4,23.79,18.28,-31.07,7,9.72
284,Alexander,Bäckman,alxbeckman,SWE,Open,8.4,26.12,21.07,-37.07,5,9.71
285,Jorgen K,Andersson,jojje,SWE,Open,8.28,25.46,20.41,-35.76,14,9.58
286,Stefan,Didio,sd59,SWE,Open,8.25,23.44,18.04,-30.69,9,9.55
287,Jon,Hagstad,hagge,SWE,Open,8.23,25.73,20.79,-36.63,5,9.52
288,Jonas,Wallgren,junbao,SWE,Open,8.23,27.57,22.97,-41.35,4,9.52
289,Morten,Jörgensen,netromj,SWE,Open,8.2,22.24,16.68,-27.8,10,9.49
290,Alexander,Malmgård,,SWE,Open,8.17,25.11,20.12,-35.27,6,9.45
291,Axel,Rönquist,axelr,SWE,Open,8.13,27.03,22.46,-40.34,5,9.4
292,Thomas,Carlsson,,SWE,Open,8.09,24.76,19.8,-34.65,8,9.36
293,Daniel,Nilsson,dannyboy,SWE,Open,7.98,26.58,22.1,-39.73,6,9.23
294,Anders,Sterner,snowolverine,SWE,Open,7.93,24.87,20.13,-35.52,9,9.17
295,Kent,Stangvik,nordicraven,SWE,Open,7.92,27.8,23.62,-43.06,3,9.16
296,Peter,Freed,freed,SWE,Open,7.83,24.08,19.31,-33.85,7,9.05
297,Mattias,Wrande,,SWE,Open,7.78,25.73,21.33,-38.25,5,9.0
298,Max,Karlsson,maxhunter365,SWE,Open,7.64,21.09,15.98,-26.85,14,8.84
299,Mikael,Landstedt,mightymike,SWE,Open,7.49,32.0,29.12,-55.36,2,8.67
300,Peter,Eliasson,petereliasson,SWE,Open,7.41,28.45,25.01,-46.57,3,8.57
301,Peter,Af Geijerstam,p4fg,SWE,Open,7.37,26.51,22.75,-41.73,4,8.52
302,Robin,Östman,wox,SWE,Open,7.23,29.94,26.99,-51.03,2,8.36
303,Björn,Sjöberg,bjorns,SWE,Open,7.19,25.26,21.47,-39.15,7,8.32
304,Adam,Odgaard-Nexe,nexus,SWE,Open,7.19,31.83,29.28,-56.01,2,8.31
305,Robert,Pettersson,,SWE,Open,7.19,22.56,18.27,-32.24,10,8.31
306,Daniel,Hokkanen,setharakthe,SWE,Open,7.16,25.29,21.53,-39.32,5,8.28
307,Mats,Karlsson,yaps,SWE,Open,7.14,26.82,23.38,-43.33,6,8.26
308,Alexander,Sjöberg,grimner,SWE,Open,7.1,25.28,21.61,-39.54,6,8.21
309,Stefan,Eriksson,ster,SWE,Open,7.1,27.26,23.96,-44.62,5,8.21
310,Stefan,Siverud,stefans,SWE,Open,7.08,23.57,19.59,-35.19,7,8.19
311,Anders,Rothman,rothman,SWE,Open,7.07,21.43,17.06,-29.75,18,8.18
312,Andre,du Toit,andredutoit,SWE,Open,7.02,27.59,24.44,-45.73,3,8.12
313,Patrik,Lundin,pake,SWE,Open,6.98,23.7,19.87,-35.91,9,8.07
314,Andreas,Mångs,drokk,SWE,Open,6.97,25.02,21.46,-39.34,5,8.06
315,Richard,Lindström,richard,SWE,Open,6.93,24.55,20.93,-38.25,8,8.02
316,Anton,Molin,gibbster,SWE,Open,6.93,22.01,17.91,-31.73,10,8.02
317,Rikard,Brink,altie,SWE,Open,6.93,24.54,20.93,-38.25,6,8.01
318,Daniel,Larsson,swedan,SWE,Open,6.92,23.63,19.85,-35.92,6,8.01
319,Peder,Nilsson,,SWE,Open,6.8,25.38,22.08,-40.86,4,7.86
320,Leif,Hagberg,vsop,SWE,Open,6.74,24.35,20.92,-38.43,7,7.79
321,Daniel,Stodola,stodde,SWE,Open,6.71,19.4,15.08,-25.84,16,7.76
322,Urban,Moorman-h,ubeksd,SWE,Open,6.68,26.83,23.94,-45.0,3,7.72
323,Leif,Ankarsköld,greven,SWE,Open,6.67,26.38,23.41,-43.86,3,7.72
324,Orjan,Magnusson,60plus,SWE,Open,6.61,23.47,20.03,-36.63,10,7.65
325,Anders,Dahlberg,hungry,SWE,Open,6.6,26.62,23.79,-44.75,3,7.63
326,Mikael,Östling,pergite,SWE,Open,6.49,31.92,30.21,-58.72,6,7.51
327,Alexander,Wagman,wagner,SWE,Open,6.49,23.83,20.61,-37.99,6,7.5
328,Markus,Lindström,recoil,SWE,Open,6.41,30.04,28.07,-54.18,1,7.42
329,Matts,Lindberg,,SWE,Open,6.36,23.65,20.55,-37.99,7,7.36
330,Matthieu,Marchand,tokamatt,SWE,Open,6.35,24.53,21.59,-40.25,5,7.35
331,Victor,Lloyd,lloyd,SWE,Open,6.27,25.83,23.24,-43.89,4,7.25
332,Patrick,Johansson,,SWE,Open,6.24,24.52,21.72,-40.65,6,7.21
333,Peter,Johansson,,SWE,Open,6.15,23.67,20.82,-38.79,6,7.12
334,Daniel,Lundström,,SWE,Open,6.09,26.09,23.76,-45.2,5,7.04
335,Kai,Koskinen,kaikos,SWE,Open,5.98,26.12,23.93,-45.67,3,6.92
336,Carl,Engström,carlaj,SWE,Open,5.98,24.84,22.41,-42.4,5,6.92
337,Thomas,Höglund,,SWE,Open,5.95,24.04,21.5,-40.45,6,6.88
338,Roger,W***,majtii,SWE,Open,5.94,24.52,22.08,-41.72,3,6.87
339,Hugo,Källner,asfalt,SWE,Open,5.91,29.39,27.9,-54.3,3,6.84
340,Ivar,Kaneröd,,SWE,Open,5.91,18.97,15.52,-27.6,15,6.83
341,Andreas,Sandström,sand,SWE,Open,5.87,26.28,24.25,-46.47,3,6.79
342,William,Parhammar,thelaw,SWE,Open,5.87,25.97,23.89,-45.69,3,6.79
343,Johan,Kvande,kvande,SWE,Open,5.85,24.79,22.51,-42.73,5,6.77
344,Claus,Strömquist,seav8r,SWE,Open,5.81,23.07,20.51,-38.47,7,6.72
345,Erik,Fjellström,,SWE,Open,5.8,28.61,27.09,-52.68,1,6.71
346,Hansi,Jarosch,hansi,SWE,Open,5.79,26.11,24.14,-46.32,2,6.7
347,Johan,Tuhkunen,mrjohan,SWE,Open,5.78,24.86,22.67,-43.14,5,6.69
348,Toomas,Saar,,SWE,Open,5.73,24.61,22.44,-42.7,4,6.63
349,Urban,Edman,ubeksd,SWE,Open,5.69,25.3,23.3,-44.61,5,6.58
350,Fredrik,Johansson,tummen,SWE,Open,5.68,23.43,21.08,-39.82,7,6.57
351,Pontus,Persson,poppowisch,SWE,Open,5.67,24.48,22.34,-42.55,5,6.56
352,Roland,Carlsson,nubben,SWE,Open,5.6,23.79,21.62,-41.06,6,6.47
353,Marcus,Sjögren,sandwich,SWE,Open,5.57,25.82,24.06,-46.37,3,6.44
354,Ronnie,Mörth,,SWE,Open,5.54,26.18,24.52,-47.39,3,6.41
355,jan,larsson,janc,SWE,Open,5.53,23.12,20.9,-39.59,8,6.39
356,Axel,Harrysson,,SWE,Open,5.5,25.41,23.65,-45.55,3,6.36
357,Håkan,Spuhr,,SWE,Open,5.5,25.29,23.52,-45.26,10,6.36
358,Wille,E,,SWE,Open,5.5,25.42,23.67,-45.59,4,6.36
359,Tobias,Andersson,,SWE,Open,5.48,22.87,20.66,-39.11,6,6.34
360,Mattias,Haglund,,SWE,Open,5.47,24.7,22.85,-43.85,5,6.32
361,Linus,H,linush,SWE,Open,5.4,25.97,24.45,-47.37,2,6.24
362,Göran,Wallström,wallis,SWE,Open,5.39,26.21,24.74,-48.01,3,6.24
363,Joakim,Blomberg,,SWE,Open,5.39,24.76,23.02,-44.3,4,6.23
364,Johan,Lindberg,,SWE,Open,5.36,28.13,27.05,-53.03,9,6.2
365,Kristoffer,Elander,krees,SWE,Open,5.35,25.74,24.22,-46.93,3,6.19
366,Jani,Myllärinen,jani,SWE,Open,5.32,24.92,23.29,-44.96,5,6.15
367,Gabriel,Hübinette,cerastes,SWE,Open,5.26,24.64,23.03,-44.43,5,6.09
368,Marcus,Blomqvist,dynamitarden,SWE,Open,5.2,24.73,23.2,-44.88,5,6.02
369,Ulf,Larsson,gaisakefeskeboxa,SWE,Open,5.16,24.39,22.85,-44.15,6,5.97
370,Chris,Nordlund,,SWE,Open,5.16,26.61,25.48,-49.84,2,5.97
371,Patrik,Bengtsson,,SWE,Open,5.14,22.28,20.36,-38.8,6,5.95
372,Marcus,Madsen,mrslimandfast,SWE,Open,5.12,28.25,27.48,-54.19,1,5.93
373,Carl,Danielson,,SWE,Open,5.08,25.33,24.06,-46.85,5,5.88
374,Jonas,Björk,whistler,SWE,Open,5.07,21.67,19.73,-37.51,7,5.87
375,Hamza,Jansson,greathamza,SWE,Open,5.03,22.66,20.95,-40.19,7,5.82
376,Stefan,Bengtsson,stiffe,SWE,Open,4.98,25.36,24.22,-47.3,3,5.76
377,Edvard,Holm,edvardholm,SWE,Open,4.97,24.7,23.45,-45.64,4,5.75
378,Martin,Davoust,davoust,SWE,Open,4.97,26.09,25.1,-49.21,2,5.75
379,Tobias,Ackeborn,,SWE,Open,4.96,24.95,23.76,-46.32,3,5.73
380,Mikael,Bergqvist,mikebike,SWE,Open,4.93,25.02,23.87,-46.59,5,5.7
381,Per,Rosendahl,rosen,SWE,Open,4.93,22.85,21.3,-41.05,6,5.7
382,Ronny,Holmberg,starfighter,SWE,Open,4.88,20.52,18.58,-35.22,10,5.65
383,Erik,Isacsson,,SWE,Open,4.72,24.38,23.36,-45.7,4,5.46
384,Ulf,Nygren,,SWE,Open,4.69,23.69,22.57,-44.03,4,5.42
385,Marianne,Schön,marsch,SWE,Open,4.64,25.02,24.22,-47.63,5,5.36
386,Johan,Roijer,giffin,SWE,Open,4.62,24.63,23.78,-46.71,10,5.34
387,Christopher,Oltnäs,varangian,SWE,Open,4.61,21.36,19.9,-38.33,8,5.34
388,Glenn,Vennberg,,SWE,Open,4.59,23.81,22.84,-44.7,5,5.31
389,Johan,Wahlberg,,SWE,Open,4.55,24.37,23.55,-46.29,3,5.26
390,Jesper,Lindblom,jesperl,SWE,Open,4.52,25.46,24.89,-49.19,3,5.23
391,Fredrik,Ulfhielm,,SWE,Open,4.5,24.89,24.23,-47.79,3,5.21
392,Robert,Börjesson,rob79,SWE,Open,4.5,29.89,30.17,-60.62,1,5.2
393,Pontus,Corax,poppowisch,SWE,Open,4.48,24.53,23.82,-46.94,3,5.19
394,Hector,Castillo,,SWE,Open,4.48,24.22,23.45,-46.13,4,5.18
395,STEPHEN,NotKnown,45acp,SWE,Open,4.47,24.6,23.92,-47.15,4,5.17
396,Christian,Backman,,SWE,Open,4.47,26.84,26.58,-52.9,1,5.17
397,Jonas,R Sthlm,,SWE,Open,4.44,24.79,24.18,-47.76,3,5.14
398,Dan,Bennäs,,SWE,Open,4.43,22.97,22.03,-43.11,5,5.13
399,Rasmus,Olausson,mapuf,SWE,Open,4.38,23.29,22.48,-44.13,4,5.06
400,Linda,Påhlman,linda,SWE,Open,4.37,25.22,24.77,-49.09,4,5.05
401,Jesper,Håkansson,jpha,SWE,Open,4.35,24.54,23.99,-47.42,4,5.03
402,Robert,Tennisberg,rangerrob,SWE,Open,4.25,24.8,24.42,-48.47,3,4.91
403,Henrik,S,,SWE,Open,4.24,25.19,24.89,-49.48,3,4.91
404,Mikael,Hjelm,,SWE,Open,4.24,25.1,24.78,-49.25,4,4.91
405,Reine,Oxfält,oxen,SWE,Open,4.21,25.77,25.61,-51.07,2,4.87
406,Christopher,Hellsberg,,SWE,Open,4.18,24.39,24.0,-47.63,3,4.84
407,Dennis,Andersson,,SWE,Open,4.14,25.01,24.79,-49.35,4,4.79
408,Peter,Stavling,peter997s,SWE,Open,4.14,24.72,24.45,-48.63,5,4.79
409,Frederic,Nilsson,scorpan,SWE,Open,4.14,25.92,25.89,-51.74,2,4.79
410,Johan,Appelkvist,appeal,SWE,Open,4.14,24.36,24.03,-47.73,4,4.78
411,Mathias,Gunnarsson,gugge,SWE,Open,4.13,24.0,23.61,-46.82,4,4.78
412,Viktor,E,,SWE,Open,4.11,24.62,24.37,-48.48,3,4.75
413,Robert,Westerberg,bobbiew,SWE,Open,4.1,24.46,24.2,-48.13,3,4.74
414,Rolf,Albers,slaktarfan,SWE,Open,4.09,25.19,25.07,-50.01,3,4.74
415,Mats,Parhammar,mapa,SWE,Open,4.05,25.33,25.28,-50.52,4,4.69
416,Timur,Lundholm,timpa,SWE,Open,4.04,26.52,26.71,-53.61,1,4.68
417,Gustaf,Olsson,gurra,SWE,Open,4.02,23.37,22.98,-45.59,5,4.65
418,Alf,Bohman,affe,SWE,Open,4.02,28.5,29.09,-58.77,1,4.64
419,Thomas,Möllerberg,1familyman,SWE,Open,3.98,23.98,23.76,-47.3,4,4.61
420,Hänry,Bengtsson,hanry1536,SWE,Open,3.93,25.15,25.21,-50.48,2,4.55
421,Fredrik,Petersson,,SWE,Open,3.88,25.26,25.4,-50.94,2,4.49
422,Peder,Schütt,,SWE,Open,3.88,23.39,23.18,-46.14,4,4.49
423,Robert,Johansson,rj84,SWE,Open,3.88,26.98,27.45,-55.38,1,4.49
424,Viktor,Engberg,,SWE,Open,3.85,25.05,25.2,-50.53,2,4.45
425,Stefan,Persson,stiipen,SWE,Open,3.83,23.32,23.16,-46.17,5,4.42
426,Simos,Sapranidis,simonsays,SWE,Open,3.78,24.41,24.51,-49.13,4,4.37
427,Per,Nilson,per,SWE,Open,3.78,25.05,25.27,-50.77,3,4.37
428,Calvin,Yu,,SWE,Open,3.78,24.79,24.96,-50.1,3,4.37
429,Vilhelm,Hallstrom,mirage,SWE,Open,3.77,24.37,24.47,-49.04,5,4.37
430,Joakim,Bonde,,SWE,Open,3.77,24.83,25.03,-50.25,2,4.36
431,Alfred,Pons,,SWE,Open,3.74,24.59,24.77,-49.72,6,4.33
432,Björn,Elfving,,SWE,Open,3.74,25.53,25.89,-52.13,2,4.33
433,Luigi,de Barone,2alfa,SWE,Open,3.71,23.71,23.76,-47.58,4,4.29
434,Tony,Johansson,alien555,SWE,Open,3.65,25.41,25.86,-52.16,2,4.22
435,Tommy,Govik,,SWE,Open,3.62,24.46,24.76,-49.81,4,4.19
436,Örjan,L,iceman74,SWE,Open,3.62,24.66,25.0,-50.35,3,4.18
437,Erik,Lindström,orca,SWE,Open,3.61,24.48,24.8,-49.92,6,4.17
438,Daniel,Saxin,,SWE,Open,3.57,24.64,25.04,-50.47,2,4.12
439,"Karl-Magnus ""KM""",Troedsson,,SWE,Open,3.51,25.9,26.61,-53.91,1,4.06
440,Jenny,Bäckman,lizzieluz,SWE,Open,3.51,22.11,22.11,-44.2,7,4.06
441,ulf,lundqvist,,SWE,Open,3.49,25.79,26.5,-53.7,5,4.04
442,Viktor,Sjöberg,,SWE,Open,3.49,23.21,23.43,-47.08,5,4.04
443,Stefan,Vestman,vestman,SWE,Open,3.45,24.96,25.56,-51.71,3,3.99
444,Kai,Rämö,kai,SWE,Open,3.41,25.51,26.26,-53.26,2,3.95
445,Mikael,Norberg,sportshooter,SWE,Open,3.4,24.11,24.61,-49.71,3,3.94
446,Kevin,Kirk,kpk,SWE,Open,3.39,24.81,25.45,-51.54,2,3.92
447,Carl-Filip,Björk,kalle,SWE,Open,3.38,24.81,25.46,-51.58,2,3.91
448,Anders,P,lanyc,SWE,Open,3.37,24.87,25.55,-51.77,2,3.9
449,Erik,Johansson,agerik,SWE,Open,3.34,24.54,25.2,-51.05,5,3.86
450,Mika,Eskelinen,,SWE,Open,3.32,25.55,26.4,-53.67,2,3.85
451,Jens,Nordlund,jjtb,SWE,Open,3.28,24.09,24.73,-50.09,3,3.79
452,Robert,Nordström,robertray,SWE,Open,3.25,25.57,26.52,-53.99,2,3.76
453,Gustav,Steneholm,gstene,SWE,Open,3.22,25.12,26.02,-52.93,2,3.73
454,Tobias,Bergkvist,lillomeister,SWE,Open,3.21,24.73,25.57,-51.97,2,3.72
455,Jesper,Malmberg,jesper,SWE,Open,3.2,25.12,26.05,-53.02,2,3.7
456,Erik,Kjellberg,,SWE,Open,3.19,25.22,26.17,-53.3,3,3.69
457,stefan,melmblom,sm1,SWE,Open,3.17,25.03,25.97,-52.89,4,3.66
458,Marcus,Johansson,,SWE,Open,3.17,24.18,24.96,-50.71,3,3.66
459,Mika,Orava,cephid,SWE,Open,3.14,24.18,24.99,-50.8,3,3.64
460,Patric,Hedberg,gungnir,SWE,Open,3.12,23.4,24.1,-48.91,3,3.6
461,Fabian,Landgren,,SWE,Open,3.11,23.86,24.66,-50.11,4,3.6
462,Simon,Sapranidis,simonsays,SWE,Open,3.11,20.49,20.66,-41.49,8,3.59
463,Niklas,Sjöberg,xact,SWE,Open,3.1,25.17,26.23,-53.51,2,3.58
464,Mika,Honkavuo,citizenx,SWE,Open,3.08,23.69,24.49,-49.78,4,3.57
465,Teodoros,Chatzissavidis,satan,SWE,Open,3.08,24.98,26.03,-53.09,8,3.56
466,Jimmy,With,with,SWE,Open,3.05,25.97,27.23,-55.72,1,3.53
467,Jonas,Jonsson,,SWE,Open,3.04,22.76,23.43,-47.55,4,3.51
468,Tommy,G,soe,SWE,Open,3.01,24.95,26.07,-53.26,2,3.48
469,Daniel,Ramnefors,,SWE,Open,2.99,23.82,24.75,-50.42,3,3.46
470,Mats,Belin,donmatso,SWE,Open,2.99,25.31,26.53,-54.27,2,3.46
471,Johan,Bogg,docj,SWE,Open,2.96,23.66,24.59,-50.12,3,3.43
472,Vilhelm,Haström,mirage,SWE,Open,2.96,25.48,26.76,-54.81,2,3.42
473,Thomas,Sjunnesson,werops,SWE,Open,2.96,23.82,24.79,-50.55,4,3.42
474,Don Plomo,Helin,donplomo,SWE,Open,2.93,22.03,22.69,-46.04,6,3.39
475,Olle,Lindskog,olle,SWE,Open,2.93,24.13,25.18,-51.42,3,3.39
476,Patrik,Gustavsson,,SWE,Open,2.9,24.92,26.16,-53.57,5,3.35
477,Jimmy,Svensson,,SWE,Open,2.89,27.15,28.83,-59.33,2,3.34
478,Ola,S,,SWE,Open,2.87,24.9,26.17,-53.61,2,3.32
479,Alexander,Corax,grimner,SWE,Open,2.87,25.3,26.65,-54.65,2,3.32
480,Kim,Karlsson,,SWE,Open,2.86,25.7,27.14,-55.71,1,3.31
481,William,Gjerulf,,SWE,Open,2.86,26.28,27.83,-57.21,3,3.31
482,Joakim,Svensson,gadgeten,SWE,Open,2.86,24.79,26.07,-53.4,2,3.3
483,Oscar,Krook,platemate,SWE,Open,2.85,24.98,26.3,-53.91,2,3.29
484,Ola,Nilsson,xa180,SWE,Open,2.85,22.16,22.95,-46.69,10,3.29
485,Andreas,Wredendal,,SWE,Open,2.83,26.08,27.63,-56.8,1,3.27
486,Marcus,Magnil,mrzphinx,SWE,Open,2.83,25.64,27.1,-55.67,1,3.27
487,Björn,Rickan,brickan,SWE,Open,2.83,24.66,25.95,-53.18,2,3.27
488,Johan,Fälth,,SWE,Open,2.82,25.65,27.13,-55.75,1,3.26
489,Patrik,Andersson,pat,SWE,Open,2.77,21.56,22.32,-45.41,6,3.21
490,Fredrik,Fälth,frefa,SWE,Open,2.76,24.26,25.54,-52.37,2,3.2
491,Björn,Elfvin,bjoelf,SWE,Open,2.72,24.13,25.44,-52.19,2,3.15
492,Andreas,Granberg,roadrunner,SWE,Open,2.72,25.26,26.78,-55.07,3,3.15
493,Kristian,Säkki,sakki,SWE,Open,2.72,25.48,27.05,-55.67,2,3.14
494,Jonas,Bengtsson,,SWE,Open,2.7,25.52,27.11,-55.83,1,3.12
495,Mikael,Karlsson,femte,SWE,Open,2.68,24.17,25.54,-52.44,4,3.1
496,Henrik,Ryhle,stankyhank,SWE,Open,2.67,24.12,25.49,-52.34,2,3.09
